Area,Element,Item,Unit,Value,
Indonesia,Food supply quantity (kg/capita/yr),Eggs,kg,5.57,
Indonesia,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,6.74,
Indonesia,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,44.67,
Netherlands,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,93.92,830.16
Netherlands,Food supply quantity (kg/capita/yr),Starchy Roots,kg,80.6,
Netherlands,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,44.32,
Netherlands,Food supply quantity (kg/capita/yr),Pulses,kg,1.61,
Netherlands,Food supply quantity (kg/capita/yr),Treenuts,kg,3,
Netherlands,Food supply quantity (kg/capita/yr),Vegetables,kg,61.6,
Netherlands,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,93.06,
Netherlands,Food supply quantity (kg/capita/yr),Meat,kg,75.81,
Netherlands,Food supply quantity (kg/capita/yr),Eggs,kg,14.12,
Netherlands,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,340.35,
Netherlands,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,21.77,
Nigeria,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,137.6,558.94
Nigeria,Food supply quantity (kg/capita/yr),Starchy Roots,kg,246.01,
Nigeria,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,8.19,
Nigeria,Food supply quantity (kg/capita/yr),Pulses,kg,10.47,
Nigeria,Food supply quantity (kg/capita/yr),Treenuts,kg,1.06,
Nigeria,Food supply quantity (kg/capita/yr),Vegetables,kg,78.9,
Nigeria,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,55.77,
Nigeria,Food supply quantity (kg/capita/yr),Meat,kg,7.15,
Nigeria,Food supply quantity (kg/capita/yr),Eggs,kg,2.49,
Nigeria,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,2.18,
Nigeria,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,9.12,
Russian Federation,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,146.91,790.93
Russian Federation,Food supply quantity (kg/capita/yr),Starchy Roots,kg,112.12,
Russian Federation,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,81.87,
Russian Federation,Food supply quantity (kg/capita/yr),Pulses,kg,2.53,
Russian Federation,Food supply quantity (kg/capita/yr),Treenuts,kg,0.21,
Russian Federation,Food supply quantity (kg/capita/yr),Vegetables,kg,113.04,
Russian Federation,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,56.1,
Russian Federation,Food supply quantity (kg/capita/yr),Meat,kg,76.61,
Russian Federation,Food supply quantity (kg/capita/yr),Eggs,kg,16.02,
Russian Federation,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,165.45,
Russian Federation,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,20.07,
United States of America,Food supply quantity (kg/capita/yr),Cereals - Excluding Beer,kg,109.05,858.63
United States of America,Food supply quantity (kg/capita/yr),Starchy Roots,kg,56.24,
United States of America,Food supply quantity (kg/capita/yr),Sugar & Sweeteners,kg,65.77,
United States of America,Food supply quantity (kg/capita/yr),Pulses,kg,3.75,
United States of America,Food supply quantity (kg/capita/yr),Treenuts,kg,3.51,
United States of America,Food supply quantity (kg/capita/yr),Vegetables,kg,113.41,
United States of America,Food supply quantity (kg/capita/yr),Fruits - Excluding Wine,kg,90,
United States of America,Food supply quantity (kg/capita/yr),Meat,kg,124.1,
United States of America,Food supply quantity (kg/capita/yr),Eggs,kg,15.57,
United States of America,Food supply quantity (kg/capita/yr),Milk - Excluding Butter,kg,254.87,
United States of America,Food supply quantity (kg/capita/yr),"Fish, Seafood",kg,22.36,
